Nb_FPGA,Module,REG%,REG,LUT%,LUT,RAMLUT%,RAMLUT,LUT6%,LUT6,MUXCY%,MUXCY,BRAM%,BRAM,URAM%,URAM,DSP%,DSP,IOs,Path
1,design,100%,1852,100%,1168,100%,72,100%,172,100%,205,100%,2, 0%,0, 0%,0,548970,design
1,f00_fx_macro,47%,865,69%,804, 0%,0,70%,119,94%,191,100%,2, 0%,0, 0%,0,253,design.zkprctrl
1,fx_macro_xclk2_DEVICE_7_0,47%,865,69%,804, 0%,0,70%,119,94%,191,100%,2, 0%,0, 0%,0,465,design.zkprctrl.wrapper
1,U0_M0_F0,53%,977,24%,273,100%,72,17%,29, 1%,2, 0%,0, 0%,0, 0%,0,152,design.U0_M0_F0
1,U0_M0_F0_core,51%,936,24%,273,100%,72,17%,29, 1%,2, 0%,0, 0%,0, 0%,0,178,design.U0_M0_F0.U0_M0_F0_core
1,fx_macro_xclk2_DEVICE_7_lib_...(1)*,27%,495,36%,420, 0%,0,29%,49,44%,89,50%,1, 0%,0, 0%,0,107,design.zkprctrl.wrapper.fib_bridge_rx
1,fib_bridge_rx_SIZE_7_MUX_6_M...(2)*,27%,495,36%,420, 0%,0,29%,49,44%,89,50%,1, 0%,0, 0%,0,107,design.zkprctrl.wrapper.fib_bridge_rx.u_xst_wrapper_0
1,stb,43%,796,18%,205,100%,72, 5%,7, 1%,2, 0%,0, 0%,0, 0%,0,185,design.U0_M0_F0.U0_M0_F0_core.u_stb
1,srb_bridge_1a29418e,18%,331,21%,235, 0%,0,32%,54,44%,90,50%,1, 0%,0, 0%,0,315,design.zkprctrl.wrapper.srb_bridge
1,fib_bridge_rx_SIZE_7_MUX_6_M...(3)*,13%,224,11%,122, 0%,0, 5%,8,38%,77,50%,1, 0%,0, 0%,0,112,design.zkprctrl.wrapper.fib_bridge_rx.u_xst_wrapper_0.fib_bridge_rx_fifo_async_0
1,srb_bridge_fib2srb_fifo_2565...(4)*,11%,188, 8%,82, 0%,0, 5%,7,24%,48,50%,1, 0%,0, 0%,0,79,design.zkprctrl.wrapper.srb_bridge.srb_bridge_fib2srb_fifo_0
1,fifo1023x36_fwft_core_fifo_g...(5)*,11%,188, 8%,82, 0%,0, 5%,7,24%,48,50%,1, 0%,0, 0%,0,119,design.zkprctrl.wrapper.fib_bridge_rx.u_xst_wrapper_0.fib_bridge_rx_fifo_async_0.fifo1023x36_fwft_0.fifo1023x36_fwft_0.BU2
1,fifo1023x36_fwft_core_fifo_g...(6)*,11%,188, 8%,82, 0%,0, 5%,7,24%,48,50%,1, 0%,0, 0%,0,119,design.zkprctrl.wrapper.srb_bridge.srb_bridge_fib2srb_fifo_0.fifo1023x36_fwft_0.fifo1023x36_fwft_0.BU2
