TARGET CLOCKS
,U0/M0/F00,U0/M0/F01,U0/M0/F02,U0/M0/F03,U0/M0/F04,U0/M0/F05,U0/M0/F06,U0/M0/F07,U0/M0/F08,U0/M0/IF,
DCLK_F00_ZSE_XC7V_8C_2000_V1_AB39__AC39___DCLK_IF_ZSE_XC7V_8C_2000_V1_AB37__AA37,1,,,,,,,,,,
DCLK_F00_ZSE_XC7V_8C_2000_V1_AB40__AA40___DCLK_IF_ZSE_XC7V_8C_2000_V1_AA42__AA43,1,,,,,,,,,,
DCLK_F00_ZSE_XC7V_8C_2000_V1_AC41__AB41___DCLK_IF_ZSE_XC7V_8C_2000_V1_AA38__AA39,1,,,,,,,,,,
DCLK_F00_ZSE_XC7V_8C_2000_V1_AE41__AD41___DCLK_IF_ZSE_XC7V_8C_2000_V1_AB35__AB36,1,,,,,,,,,,
DCLK_F00_ZSE_XC7V_8C_2000_V1_AF42__AE42___DCLK_IF_ZSE_XC7V_8C_2000_V1_AA34__AB34,1,,,,,,,,,,
DCLK_F00_ZSE_XC7V_8C_2000_V1_AG40__AF39___DCLK_IF_ZSE_XC7V_8C_2000_V1_AA32__AA33,1,,,,,,,,,,
DCLK_F01_ZSE_XC7V_8C_2000_V1_AC39__AB39___DCLK_IF_ZSE_XC7V_8C_2000_V1_AC37__AC36,,1,,,,,,,,,
DCLK_F01_ZSE_XC7V_8C_2000_V1_AD41__AE41___DCLK_IF_ZSE_XC7V_8C_2000_V1_AD38__AC38,,1,,,,,,,,,
DCLK_F01_ZSE_XC7V_8C_2000_V1_AE42__AF42___DCLK_IF_ZSE_XC7V_8C_2000_V1_AD39__AD40,,1,,,,,,,,,
DCLK_F01_ZSE_XC7V_8C_2000_V1_AF39__AG40___DCLK_IF_ZSE_XC7V_8C_2000_V1_AC43__AC44,,1,,,,,,,,,
DCLK_F04_ZSE_XC7V_8C_2000_V1_AE42__AF42___DCLK_IF_ZSE_XC7V_8C_2000_V1_AE31__AE30,,,,,1,,,,,,
DCLK_F04_ZSE_XC7V_8C_2000_V1_AG40__AF39___DCLK_IF_ZSE_XC7V_8C_2000_V1_AF29__AF30,,,,,1,,,,,,
DCLK_F08_ZSE_XC7V_8C_2000_V1_AA39__AA38___DCLK_IF_ZSE_XC7V_8C_2000_V1_A3__B4,,,,,,,,,1,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AB44__AA44___DCLK_F00_ZSE_XC7V_8C_2000_V1_AA38__AA39,1,,,,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AC33__AC34___DCLK_F01_ZSE_XC7V_8C_2000_V1_AA40__AB40,,1,,,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AD33__AD34___DCLK_F01_ZSE_XC7V_8C_2000_V1_AA38__AA39,,1,,,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AD36__AD35___DCLK_F01_ZSE_XC7V_8C_2000_V1_AC41__AB41,,1,,,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AF43__AE43___DCLK_F04_ZSE_XC7V_8C_2000_V1_AD41__AE41,,,,,1,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AG30__AG29___DCLK_F04_ZSE_XC7V_8C_2000_V1_AB39__AC39,,,,,1,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AG31__AH31___DCLK_F04_ZSE_XC7V_8C_2000_V1_AC41__AB41,,,,,1,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AH28__AH29___DCLK_F04_ZSE_XC7V_8C_2000_V1_AA40__AB40,,,,,1,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AJ23__AJ24___DCLK_F03_ZSE_XC7V_8C_2000_V1_AF39__AG40,,,,1,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AJ29__AJ30___DCLK_F04_ZSE_XC7V_8C_2000_V1_AA38__AA39,,,,,1,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AK22__AK21___DCLK_F03_ZSE_XC7V_8C_2000_V1_AA39__AA38,,,,1,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AK23__AL23___DCLK_F03_ZSE_XC7V_8C_2000_V1_AE41__AD41,,,,1,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AM22__AL22___DCLK_F02_ZSE_XC7V_8C_2000_V1_AA39__AA38,,,1,,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AM24__AL24___DCLK_F02_ZSE_XC7V_8C_2000_V1_AF39__AG40,,,1,,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AN21__AM21___DCLK_F03_ZSE_XC7V_8C_2000_V1_AB40__AA40,,,,1,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AN22__AN23___DCLK_F02_ZSE_XC7V_8C_2000_V1_AB39__AC39,,,1,,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AP23__AR23___DCLK_F02_ZSE_XC7V_8C_2000_V1_AA40__AB40,,,1,,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AP24__AN24___DCLK_F02_ZSE_XC7V_8C_2000_V1_AD41__AE41,,,1,,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AR25__AT25___DCLK_F02_ZSE_XC7V_8C_2000_V1_AF42__AE42,,,1,,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AT22__AR22___DCLK_F03_ZSE_XC7V_8C_2000_V1_AC41__AB41,,,,1,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AT23__AT24___DCLK_F02_ZSE_XC7V_8C_2000_V1_AB41__AC41,,,1,,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_AY22__AY23___DCLK_F03_ZSE_XC7V_8C_2000_V1_AB39__AC39,,,,1,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_BA24__BB25___DCLK_F03_ZSE_XC7V_8C_2000_V1_AE42__AF42,,,,1,,,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_E1__E2___DCLK_F08_ZSE_XC7V_8C_2000_V1_AC41__AB41,,,,,,,,,1,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_E3__F3___DCLK_F08_ZSE_XC7V_8C_2000_V1_AB39__AC39,,,,,,,,,1,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_G1__H1___DCLK_F08_ZSE_XC7V_8C_2000_V1_AE42__AF42,,,,,,,,,1,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_G2__F2___DCLK_F08_ZSE_XC7V_8C_2000_V1_AE41__AD41,,,,,,,,,1,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_G4__F4___DCLK_F08_ZSE_XC7V_8C_2000_V1_AB40__AA40,,,,,,,,,1,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_H3__H2___DCLK_F08_ZSE_XC7V_8C_2000_V1_AG40__AF39,,,,,,,,,1,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_K2__L2___DCLK_F06_ZSE_XC7V_8C_2000_V1_AD41__AE41,,,,,,,1,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_K5__L5___DCLK_F06_ZSE_XC7V_8C_2000_V1_AB39__AC39,,,,,,,1,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_K6__K7___DCLK_F06_ZSE_XC7V_8C_2000_V1_AC41__AB41,,,,,,,1,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_K8__L9___DCLK_F06_ZSE_XC7V_8C_2000_V1_AA39__AA38,,,,,,,1,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_L8__L7___DCLK_F06_ZSE_XC7V_8C_2000_V1_AA40__AB40,,,,,,,1,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_M7__M6___DCLK_F06_ZSE_XC7V_8C_2000_V1_AE42__AF42,,,,,,,1,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_M9__M10___DCLK_F06_ZSE_XC7V_8C_2000_V1_AF39__AG40,,,,,,,1,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_R8__T9___DCLK_F05_ZSE_XC7V_8C_2000_V1_AB40__AA40,,,,,,1,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_T8__T7___DCLK_F05_ZSE_XC7V_8C_2000_V1_AB41__AC41,,,,,,1,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_U10__U9___DCLK_F05_ZSE_XC7V_8C_2000_V1_AA38__AA39,,,,,,1,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_U1__U2___DCLK_F05_ZSE_XC7V_8C_2000_V1_AD41__AE41,,,,,,1,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_U31__U30___DCLK_F07_ZSE_XC7V_8C_2000_V1_AD41__AE41,,,,,,,,1,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_U7__U6___DCLK_F05_ZSE_XC7V_8C_2000_V1_AF42__AE42,,,,,,1,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_V10__V9___DCLK_F05_ZSE_XC7V_8C_2000_V1_AG40__AF39,,,,,,1,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_V29__W29___DCLK_F07_ZSE_XC7V_8C_2000_V1_AF39__AG40,,,,,,,,1,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_V31__V32___DCLK_F07_ZSE_XC7V_8C_2000_V1_AC39__AB39,,,,,,,,1,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_V43__V44___DCLK_F07_ZSE_XC7V_8C_2000_V1_AB40__AA40,,,,,,,,1,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_V8__V7___DCLK_F05_ZSE_XC7V_8C_2000_V1_AB39__AC39,,,,,,1,,,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_W44__W43___DCLK_F07_ZSE_XC7V_8C_2000_V1_AA38__AA39,,,,,,,,1,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_Y30__Y31___DCLK_F07_ZSE_XC7V_8C_2000_V1_AF42__AE42,,,,,,,,1,,,
DCLK_IF_ZSE_XC7V_8C_2000_V1_Y32__Y33___DCLK_F07_ZSE_XC7V_8C_2000_V1_AC41__AB41,,,,,,,,1,,,

DESIGN CLOCKS
,U0/M0/F00,U0/M0/F01,U0/M0/F02,U0/M0/F03,U0/M0/F04,U0/M0/F05,U0/M0/F06,U0/M0/F07,U0/M0/F08,U0/M0/IF,
Part_0@U0_M0@z_dclk_delay2_bufg,1,,,,,,,,,,
Part_0@U0_M0@z_dclk_delay_bufg,1,,,,,,,,,,
Part_0@U0_M0@ztwbufg_zcg_compositeClock,1,,,,,,,,,,
Part_0@U0_M0@ztwbufg_zcg_zceiClock[0],1,,,,,,,,,,
Part_0@U0_M0@ztwbufg_zcg_zceiClock[1],1,,,,,,,,,,
